sourceNode, Destination, latency
node3, node99, 0.03496683314442635
node4, node0, 0.08699476197361947
node4, node1, 0.1950293481349945
node4, node2, 0.09297143667936325
node4, node3, 0.2623213350772858
node4, node5, 0.6148789584636688
node4, node6, 0.10117236301302909
node4, node7, 0.1457195535302162
node4, node8, 0.176567243039608
node4, node9, 0.08364616557955742
node4, node10, 0.18335855901241302
node4, node11, 0.13191913366317748
node4, node12, 0.14797877371311188
node4, node13, 0.06894896104931832
node4, node14, 0.17401694506406784
node4, node15, 0.4911628425121307
node4, node16, 0.2717258155345917
node4, node17, 0.16560871452093123
node4, node18, 0.19261053800582886
node4, node19, 0.12587431743741034
node4, node20, 0.11184640005230903
node4, node21, 0.10805599614977837
node4, node22, 0.11249074563384057
node4, node23, 0.10738596022129059
node4, node24, 0.07355410009622573
node4, node25, 0.42341068983078
node4, node26, 0.47344071567058565
node4, node27, 0.25400819927453994
node4, node28, 0.1860417902469635
node4, node29, 0.40875097513198855
node4, node30, 0.037358781695365904
node4, node31, 0.026327281817793848
node4, node32, 0.2984220266342163
node4, node33, 0.07176183983683586
node4, node34, 0.04864363819360733
node4, node35, 0.6566976428031921
node4, node36, 0.17826617062091826
node4, node37, 0.24552198201417924
node4, node38, 0.08872965350747108
node4, node39, 0.3914283633232117
node4, node40, 0.31552231013774873
node4, node41, 0.12558772116899491
node4, node42, 0.19602578580379487
node4, node43, 0.12888941839337348
node4, node44, 0.2386436566710472
node4, node45, 0.10410956293344498
node4, node46, 0.2465727299451828
node4, node47, 0.035538559593260285
node4, node48, 0.08691401258111
node4, node49, 0.3051461070775986
node4, node50, 0.47785547077655793
node4, node51, 0.1678376942873001
node4, node52, 0.4015408009290695
node4, node53, 0.29247088432312013
node4, node54, 0.08936752527952194
node4, node55, 0.020451785530894995
node4, node56, 0.10557801276445389
node4, node57, 0.10403841584920884
node4, node58, 0.09218390434980392
node4, node59, 0.2760255068540573
node4, node60, 0.23226893544197083
node4, node61, 0.2126461982727051
node4, node62, 0.04592964984476566
node4, node63, 0.23525694608688355
node4, node64, 0.12341548651456832
node4, node65, 0.03469476960599423
node4, node66, 0.3406324744224548
node4, node67, 0.04992221780121327
node4, node68, 0.21594818979501723
node4, node69, 0.06652127951383591
node4, node70, 0.05233037918806076
node4, node71, 0.3434613704681396
node4, node72, 0.05699699558317661
node4, node73, 0.08975356668233872
node4, node74, 0.156671404838562
node4, node75, 0.10528863444924355
node4, node76, 0.07151066735386849
node4, node77, 0.19723141342401504
node4, node78, 0.30160867869853974
node4, node79, 0.1094892293214798
node4, node80, 0.15976582467556
node4, node81, 0.25933642983436583
node4, node82, 0.14167505204677583
node4, node83, 0.20881645530462264
node4, node84, 1.3882948841367448
node4, node85, 0.1827178791165352
node4, node86, 0.21189153343439102
node4, node87, 0.05823527090251446
